,tweet,verified,created_at,location,favourites,retweets
68,คือยายกูมาเห็นน้องเล่นป๊อปแคทแล้วถามว่า 'มานั่งตบปากแมวทำไมทั้งวัน นิสัยไม่ดีเลยลูก'/กู55555555555555 #popcat https://t.co/qrdia44SqC,False,2021-08-15 13:56:22,รับประกันเบอร์หนึ่งเจนสี่◞˚ₓ,4,1
69,มันเลยเถิด ไป3หมื่น2พันล้านได้ยังไง นึกว่าแค่ชนะไต้หวันก็หยุด จะน๊อครอบเค้าอีกรอบแล้ว #popcat,False,2021-08-15 13:56:24,,0,0
70,"What moons faster than #doge ? 🐶

- Thailand's pop count on #popcat 🚀😹🇹🇭
https://t.co/Hwmvgwsift",False,2021-08-15 13:56:26,,2,0
71,"กูล่ะอยากให้เว็บของ รฐบ. เหมือนเว็บนี้จัง ไม่ล่มไม่อะไรเลยอีเหี้ย✨
#popcat",False,2021-08-15 13:56:27,,4,1
72,"ไอ่เหี้ยช่วยด้วย ชั้นชอบเม้นนี้ ปังมากกก 
'อย่าดูถูกประเทศที่มีอัตราการตกงานเยอะที่สุด' นางเม้นเป็นภาษาจีน กดแปลมา… https://t.co/DoMcmklbgO",False,2021-08-15 13:56:28,,27,69
73,"Теперь тайскому народу нужна демократия.  Но полиция и армия применяют насилие для подавления людей, и теперь люди… https://t.co/XEcQCKpcVj",False,2021-08-15 13:56:37,,3,5
74,"#popcat
絶対ハマらない、とりあえず1000やったけどもうやらん
タイどうなっとんのやwww https://t.co/rOkKnXBVLS",False,2021-08-15 13:56:37,ツイフィ🐻マークを必ずお読みください,6,0
75,"ศึกนี้ข้ามิอาจถอยยย !!
พักกินน้ำจั๊กน่อย
#popcat https://t.co/wZjeRXpSNW",False,2021-08-15 13:56:37,,0,1
76,#popcat เลิกเล่นกันเมื่อไหร่บอกด้วยนะอย่าให้เราทำยอดคนเดียว,False,2021-08-15 13:56:38,,2,0
77,"ไต้หวัน:เกม
ไทย:ศักดิ์ศรี
#popcat https://t.co/rsxJWaQETP",False,2021-08-15 13:56:41,ประเทศไทย,3,0
78,ทำยังไงตาน้องถึงหายแดงคะ #popcat,False,2021-08-15 13:56:57,,0,0
79,อีไทย มึงยังไม่แผ่วกันเลยนะ #popcat,False,2021-08-15 13:56:57,,3,0
80,"Thai：I'm the fire 🔥
喔那個速度真的是很誇張泰厲害，gas gas gas一下就衝過去😳
#popcat 
Credit: https://t.co/X2lLLkFSyV https://t.co/fTrb19LsBe",False,2021-08-15 13:56:58,Taiwan,2172,1569
81,"🍭𝐖𝐞 𝐭𝐯 𝐕𝐈𝐏 🍭

30 วัน 50฿

🌥รับชมก่อนใคร
⛅️ไม่มีโฆษณาคั่น
🌩ได้ความชัดสูง

#หารwetv #หารwetvราคาถูก #หารwetvvip… https://t.co/iQRYI7DyqM",False,2021-08-15 13:56:59,,0,0
82,ให้มีพื้นที่คลายเครียดบ้าง ไมเกรนจะแดกรายวัน ขอบคุณ #popcat 🙏 https://t.co/zII3Vazf80,False,2021-08-15 13:57:05,,1,0
83,": *✧･ﾟVIU ✧･ﾟ: 

  ♣︎ 30 days / 14 baht (เหลือ2ที่) ♣︎

: *✧･ﾟWeTv ✧･ﾟ: 

  ♣︎ 30 days / 11 baht (เหลือ5ที่) ♣︎

♡… https://t.co/2zvVVz12UK",False,2021-08-15 13:57:07,,0,0
84,"คนไทยเรานี่ถ้าร่วมมือร่วมใจกันทำอะไรแล้วไม่แพ้ชาติใดในโลกจริง ถ้าไม่มัวแต่กัดกันเอง 😏
#popcat #ทีมไทยแลนด์ 🇹🇭🇹🇭 https://t.co/PhM3S9yN5a",False,2021-08-15 13:57:08,,5,4
85,"5555 ไทยไม่นอน พวกเรามีหลายกะ online 24 ชม. อย่าหาแข่งกับเมืองที่ไม่ยอมหลับไหล 
#popcat https://t.co/JZBvCW2swW",False,2021-08-15 13:57:12,,6,7
86,อัศวินรัตติกาลสู้ๆ กะเช้าขอนอนก่อน555555 #popcat,False,2021-08-15 13:57:16,กวังยา,1,0
87,ไอ้สองงงงง พี่ว่ามันโหดไป อ่อนให้เขาหน่อนก็ดี #popcat https://t.co/7VbwZCLAm4,False,2021-08-15 13:57:20,,7,1
88,คืนนี้อย่าชะล่าใจไปนะทุกคนนน กดต่อไป ไต้หวัน-มาเลย์ยังมีคนไม่ยอม #popcat #popcatthailand,False,2021-08-15 13:57:22,ประเทศไทย,1,0
89,ไปที่ไหนก็เจอแต่ข่าว pop pop pop pop pop pop pop pop pop pop pop pop pop pop pop pop pop pop pop pop pop pop pop po… https://t.co/bxWw4TGUcY,False,2021-08-15 13:57:23,,3,0
90,ไม่ได้มาเล่นๆน๊า #popcat https://t.co/7XRuH9rJVB,False,2021-08-15 13:57:26,,1,1
91,ศักดิ์ศรีมันคล้ำคอ #popcat https://t.co/Ghan8boEOv,False,2021-08-15 13:57:31,,10,13
92,"Could we use this #popcat for the fucking government that what happening in Thailand. We need democracy, We need hu… https://t.co/HQjA5lMYJC",False,2021-08-15 13:57:36,,2,2
93,"Netflix 4k  

✿ 1 จอ 39 Baht 

❀ 30 Days

✦ แอคนอก  จอเดี่ยว !
✦ ไม่ต้องใช้ Vpn 
✦ ล็อคจอไม่ได้

Tag : #หารnetfilx… https://t.co/hbN6Imoxjg",False,2021-08-15 13:57:44,,0,0
94,"ถ้ามีจีนมาเล่นด้วยน่าจะฟาดกันมันกว่านี้  ว่าไหม 55
#popcat",False,2021-08-15 13:57:48,,2,0
95,#popcat,False,2021-08-15 13:57:53,,0,0
96,"#WhatsHappeningInThailand 
ฝาก #popcat #popdog ด้วยค่า #ม็อบ15สิงหา https://t.co/NAlycu7hQS",False,2021-08-15 13:57:54,,23,40
97,This man show himself that he has no weapon but Thai police still shot him. #popcat #popdog… https://t.co/QbgnZWr08f,False,2021-08-15 13:58:02,Jaehyun is my love ; not IO,19,39
